run_id,generated_at,game_date,away,home,team,player,player_id,market,projection,projection_basis,sigma,sigma_source,line,side,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Olivia Nelson-Ododa,1631135,player_assists,1.21,season APG; L5 ast x0.45,1.47,"player-fitted (n=32, shrunk to league)",1.5,under,-195,,betrivers,0.5782,0.661,False,-0.0828,Pass,PASS,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Olivia Nelson-Ododa,1631135,player_threes,0.0,season fg3m history; L5 fg3m x0.45,0.478,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Brittney Griner,203398,player_points,11.34,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x1.25",7.435,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Brittney Griner,203398,player_rebounds,5.67,"season RPG; L5 reb x0.45, minutes x1.25",3.282,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Brittney Griner,203398,player_assists,2.17,"season APG; L5 ast x0.45, minutes x1.25",1.77,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Brittney Griner,203398,player_threes,0.13,"season fg3m history; L5 fg3m x0.45, minutes x1.25",0.502,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Kennedy Burke,1629568,player_points,8.09,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.91",5.163,"player-fitted (n=33, shrunk to league)",8.5,under,-108,-104,betrivers,0.5316,0.5046,True,0.0271,Lean,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Kennedy Burke,1629568,player_rebounds,2.67,"season RPG; L5 reb x0.45, minutes x0.91",2.081,"player-fitted (n=33, shrunk to league)",4.5,under,136,-179,betonlineag,0.8104,0.3978,True,0.4127,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Kennedy Burke,1629568,player_assists,1.03,"season APG; L5 ast x0.45, minutes x0.91",1.452,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Kennedy Burke,1629568,player_threes,1.17,"season fg3m history; L5 fg3m x0.45, minutes x0.91",1.072,"player-fitted (n=33, shrunk to league)",1.5,under,120,-156,betonlineag,0.6209,0.4272,True,0.1937,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Kelsey Mitchell,1628909,player_points,23.97,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.88",5.399,"player-fitted (n=34, shrunk to league)",25.5,under,-107,-124,draftkings,0.6116,0.4829,True,0.1287,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Kelsey Mitchell,1628909,player_rebounds,1.69,"season RPG; L5 reb x0.45, minutes x0.88",1.793,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Kelsey Mitchell,1628909,player_assists,2.41,"season APG; L5 ast x0.45, minutes x0.88",1.626,"player-fitted (n=34, shrunk to league)",2.5,under,-141,,betrivers,0.5221,0.5851,False,-0.063,Pass,PASS,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Kelsey Mitchell,1628909,player_threes,2.66,"season fg3m history; L5 fg3m x0.45, minutes x0.88",1.337,"player-fitted (n=34, shrunk to league)",3.5,under,136,-182,fanduel,0.7351,0.3963,True,0.3387,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Caitlin Clark,1642286,player_points,20.17,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.85",9.073,"player-fitted (n=33, shrunk to league)",24.5,under,102,-119,betrivers,0.6834,0.4767,True,0.2067,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Caitlin Clark,1642286,player_rebounds,2.98,"season RPG; L5 reb x0.45, minutes x0.85",2.337,"player-fitted (n=33, shrunk to league)",4.5,under,113,-154,draftkings,0.7423,0.4364,True,0.3059,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Caitlin Clark,1642286,player_assists,7.66,"season APG; L5 ast x0.45, minutes x0.85",2.94,"player-fitted (n=33, shrunk to league)",10.5,under,107,-139,betonlineag,0.833,0.4537,True,0.3793,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Caitlin Clark,1642286,player_threes,2.3,"season fg3m history; L5 fg3m x0.45, minutes x0.85",1.63,"player-fitted (n=33, shrunk to league)",2.5,under,-127,107,betrivers,0.5488,0.5366,True,0.0122,Pass,PASS,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Aliyah Boston,1641648,player_points,15.28,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.89",6.582,"player-fitted (n=33, shrunk to league)",16.5,under,-120,-111,draftkings,0.5735,0.509,True,0.0645,Standard,PLAY,True
