team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
CON,opponent,TOR,2,99.5,103.5,-4.0,86.75,203.0,0.0,0.5101351351351351,0.12502899099568318,0.3136557610241821,0.42105263157894735
CON,opponent,WAS,2,74.5,72.5,2.0,76.5,147.0,0.5,0.46691176470588236,0.08535955239516356,0.23529411764705882,0.24264705882352944
CON,overall,all,26,79.6923076923077,85.6923076923077,-6.0,80.25,165.3846153846154,0.2692307692307692,0.47275404442321606,0.15247295914211417,0.26659585199677754,0.3361357000701346
CON,result,L,19,77.47368421052632,88.94736842105263,-11.473684210526315,80.0,166.42105263157896,0.0,0.45794132962287426,0.1572103700544294,0.2751985632939241,0.33865143490065375
CON,result,W,7,85.71428571428571,76.85714285714286,8.857142857142858,80.92857142857143,162.57142857142858,1.0,0.5129599845955726,0.13961427238011576,0.2432456356188081,0.32930727695872564
DAL,home_away,away,14,91.14285714285714,90.42857142857143,0.7142857142857143,81.28571428571429,181.57142857142858,0.6428571428571429,0.5357513497344929,0.11548729128299699,0.35237500795177307,0.2354194790396456
DAL,home_away,home,11,87.36363636363636,78.63636363636364,8.727272727272727,79.4090909090909,166.0,0.7272727272727273,0.5053990827447005,0.11681029690176947,0.3181465994835707,0.25592463372367047
DAL,month,Jul,6,92.83333333333333,84.0,8.833333333333334,79.16666666666667,176.83333333333334,1.0,0.5404944778538129,0.11191348629032466,0.33414189057815386,0.23205582618558793
DAL,month,Jun,11,88.0909090909091,86.27272727272727,1.8181818181818181,82.27272727272727,174.36363636363637,0.5454545454545454,0.503809265610975,0.118458661982335,0.32635535013874123,0.22634578865143862
DAL,month,May,8,88.875,84.75,4.125,78.9375,173.625,0.625,0.5343800022038752,0.11590114304172366,0.35476281383112807,0.27861313065450766
DAL,opponent,ATL,2,70.5,81.5,-11.0,78.0,152.0,0.0,0.41831728989263234,0.12093549293623762,0.3672713809700111,0.1769714920399852
DAL,opponent,CHI,3,96.0,90.66666666666667,5.333333333333333,80.33333333333333,186.66666666666666,1.0,0.5410159817351597,0.09395149634985434,0.3224885844748859,0.28681633688483005
DAL,opponent,CON,1,86.0,83.0,3.0,80.0,169.0,1.0,0.5514705882352942,0.15723270440251572,0.38235294117647056,0.23529411764705882
DAL,opponent,GSV,1,80.0,91.0,-11.0,77.5,171.0,0.0,0.5390625,0.10121457489878542,0.34375,0.25
DAL,opponent,IND,1,107.0,104.0,3.0,89.0,211.0,1.0,0.6818181818181818,0.163826998689384,0.3484848484848485,0.36363636363636365
DAL,opponent,LAS,2,97.0,89.0,8.0,82.25,186.0,1.0,0.5704404291360813,0.1475965301111421,0.3000188217579522,0.2545642763034067
DAL,opponent,LVA,3,91.66666666666667,84.0,7.666666666666667,80.83333333333333,175.66666666666666,0.6666666666666666,0.5435148202648729,0.11012539295521144,0.3409081353794408,0.2842347618046588
DAL,opponent,MIN,3,79.66666666666667,91.66666666666667,-12.0,81.16666666666667,171.33333333333334,0.0,0.4514157014157014,0.13694654248583962,0.30939283924358546,0.22031034717601883
DAL,opponent,NYL,2,89.5,76.5,13.0,79.0,166.0,1.0,0.5384615384615384,0.09900913535035108,0.42054655870445345,0.2251012145748988
DAL,opponent,PDX,1,83.0,84.0,-1.0,78.5,167.0,0.0,0.4391891891891892,0.10477787091366304,0.3783783783783784,0.35135135135135137
DAL,opponent,PHX,1,85.0,70.0,15.0,82.5,155.0,1.0,0.5492957746478874,0.17675651789659744,0.2535211267605634,0.11267605633802817
DAL,opponent,SEA,2,95.5,83.0,12.5,85.25,178.5,1.0,0.4893882646691635,0.07979642916948679,0.2891524483284783,0.19870994590095714
DAL,opponent,TOR,2,98.5,85.5,13.0,77.25,184.0,1.0,0.5540090090090091,0.09329603145699487,0.3555855855855856,0.2352252252252252
DAL,opponent,WAS,1,92.0,69.0,23.0,73.5,161.0,1.0,0.55,0.09358914365933552,0.34285714285714286,0.24285714285714285
DAL,overall,all,25,89.48,85.24,4.24,80.46,174.72,0.68,0.5223963522589841,0.1160694137552569,0.33731450822576403,0.24444174710061656
DAL,result,L,8,78.375,89.0,-10.625,79.9375,167.375,0.0,0.45864167165269476,0.12418424357878916,0.33560620725614465,0.23059960069135083
